LocId,Latitude,Longitude,Category
a-731,19.6136,10.9738,S
b851,20.3839,11.205,C
c-974,21.0975,19.4532,R
e-541,4.0647,23.1388,P
f342,15.6317,18.8414,S
g550,12.9407,4.6534,C
h23,19.8215,22.454,R
a-972,2.6694,13.1291,H
b334,6.7331,13.918,P
c69,12.9943,24.7104,S
d297,27.9895,8.9457,C
e-167,4.3319,28.7923,R
f-426,1.9533,4.5027,H
g-834,16.9283,21.317,P
h983,1.9167,6.1517,S
a458,8.7758,12.4366,C
b-31,3.2811,14.807,R
c-523,22.7021,8.2681,H
d520,4.9816,16.488,P
e0,24.1316,29.4162,S
f-232,11.0793,3.9403,C
g698,20.8469,22.5083,R
h105,21.6601,23.9372,H
a-810,16.8001,18.4015,P
b810,22.3744,25.0718,S
c114,2.4301,10.1135,C
d-43,27.0628,20.1051,R
e514,6.8134,28.5337,H
f400,18.5998,13.1967,P
g-340,22.8597,12.516,S
h-338,28.6548,17.9599,C
a-701,29.6212,28.8215,R
c-865,6.4432,11.0587,P
d61,16.7933,7.8015,S
e98,14.6321,4.2212,C
f-130,6.0022,8.4413,R
g55,2.9073,19.6553,H
h570,25.9281,20.0583,P
a-70,15.2529,5.3605,S
b26,13.9883,18.5738,C
c939,4.5098,17.8092,R
d702,13.9048,14.0732,H
e-290,16.1183,8.9662,P
f197,11.8894,26.3983,S
g464,23.8745,2.7897,C
h-344,21.5722,16.9357,R
a-219,25.9958,3.5517,H
b442,0.3866,13.0806,P
c788,20.3803,19.9939,S
d826,3.345,25.2324,C
e263,21.9804,1.7862,R
f343,28.0638,10.3493,H
g194,6.2117,26.9978,P
h-746,20.1491,10.8077,S
a318,17.3295,15.5199,C
b-555,25.116,22.6569,R
c778,1.2539,10.2895,H
d866,25.8591,12.6031,P
e237,20.5392,25.3193,S
f-327,12.5852,17.0115,C
g-829,3.6791,15.127,R
h174,29.5803,3.9902,H
a-222,12.1075,12.612,P
b191,2.8633,4.1541,S
c-780,22.1034,21.7687,C
d566,4.8511,25.7945,R
e308,9.9266,17.3255,H
f100,20.8681,25.1479,P
g465,4.5185,11.5777,S
h-784,0.2281,13.6125,C
